Perter,Carga de trabajo 12,Carga de trabajo 23,Carga de trabajo 33,Carga de trabajo 43,Carga de trabajo 51,Carga de trabajo 59,Carga de trabajo 71,Carga de trabajo 77,Carga de trabajo 83,Carga de trabajo 87,Carga de trabajo 91,Carga de trabajo 758,max Carga de trabajo 12,Max carga de trabajo 23,Max carga de trabajo 33,Max carga de trabajo 43,Max carga de trabajo 51,Max carga de trabajo 59,Max carga de trabajo 71,Max carga de trabajo 77,Max carga de trabajo 83,Max carga de trabajo 87,Max carga de trabajo 91,Max carga de trabajo 758,cumsum carga de trabajo 12,cumsum carga de trabajo 23,cumsum carga de trabajo 33,cumsum carga de trabajo 43,cumsum carga de trabajo 51,cumsum carga de trabajo 59,cumsum carga de trabajo 71,cumsum carga de trabajo 77,cumsum carga de trabajo 83,cumsum carga de trabajo 87,cumsum carga de trabajo 91,cumsum carga de trabajo 758,casos,prom cum carga de trabajo 12,prom cum carga de trabajo 23,prom cum carga de trabajo 33,prom cum carga de trabajo 43,prom cum carga de trabajo 51,prom cum carga de trabajo 59,prom cum carga de trabajo 71,prom cum carga de trabajo 77,prom cum carga de trabajo 83,prom cum carga de trabajo 87,prom cum carga de trabajo 91,prom cum carga de trabajo 758
dic-03,396,352,342,358,319,301,298,347,348,262,345,,396,352,342,358,319,301,298,347,348,262,345,0,396,352,342,358,319,301,298,347,348,262,345,0,1,396,352,342,358,319,301,298,347,348,262,345,0
ene-04,392,286,372,369,305,294,295,317,353,250,300,,396,352,372,369,319,301,298,347,353,262,345,0,792,638,714,727,624,595,593,664,701,512,645,0,2,396,319,357,363.5,312,297.5,296.5,332,350.5,256,322.5,0
feb-04,404,316,378,383,318,303,308,342,367,301,339,,404,352,378,383,319,303,308,347,367,301,345,0,1196,954,1092,1110,942,898,901,1006,1068,813,984,0,3,398.6666667,318,364,370,314,299.3333333,300.3333333,335.3333333,356,271,328,0
mar-04,433,349,391,384,358,338,344,368,382,313,359,,433,352,391,384,358,338,344,368,382,313,359,0,1629,1303,1483,1494,1300,1236,1245,1374,1450,1126,1343,0,4,407.25,325.75,370.75,373.5,325,309,311.25,343.5,362.5,281.5,335.75,0
abr-04,415,337,368,365,329,314,322,359,357,311,351,,433,352,391,384,358,338,344,368,382,313,359,0,2062,1640,1851,1859,1629,1550,1567,1733,1807,1437,1694,0,5,412.4,328,370.2,371.8,325.8,310,313.4,346.6,361.4,287.4,338.8,0
may-04,416,354,371,376,336,331,333,375,366,313,340,,433,354,391,384,358,338,344,375,382,313,359,0,2495,1994,2222,2235,1965,1881,1900,2108,2173,1750,2034,0,6,415.8333333,332.3333333,370.3333333,372.5,327.5,313.5,316.6666667,351.3333333,362.1666667,291.6666667,339,0
jun-04,419,372,400,400,346,345,370,387,382,333,366,,433,372,400,400,358,345,370,387,382,333,366,0,2928,2366,2622,2635,2311,2226,2270,2495,2555,2083,2400,0,7,418.2857143,338,374.5714286,376.4285714,330.1428571,318,324.2857143,356.4285714,365,297.5714286,342.8571429,0
jul-04,381,325,355,362,299,301,311,340,321,311,323,,433,372,400,400,358,345,370,387,382,333,366,0,3361,2691,2977,2997,2610,2527,2581,2835,2876,2394,2723,0,8,420.125,336.375,372.125,374.625,326.25,315.875,322.625,354.375,359.5,299.25,340.375,0
ago-04,392,341,390,430,309,332,332,354,333,364,352,,433,372,400,430,358,345,370,387,382,364,366,0,3794,3032,3367,3427,2919,2859,2913,3189,3209,2758,3075,0,9,421.5555556,336.8888889,374.1111111,380.7777778,324.3333333,317.6666667,323.6666667,354.3333333,356.5555556,306.4444444,341.6666667,0
sep-04,398,336,385,400,333,337,348,347,314,331,371,,433,372,400,430,358,345,370,387,382,364,371,0,4227,3368,3752,3827,3252,3196,3261,3536,3523,3089,3446,0,10,422.7,336.8,375.2,382.7,325.2,319.6,326.1,353.6,352.3,308.9,344.6,0
oct-04,433,359,391,405,348,359,361,378,353,356,389,,433,372,400,430,358,359,370,387,382,364,389,0,4660,3727,4143,4232,3600,3555,3622,3914,3876,3445,3835,0,11,423.6363636,338.8181818,376.6363636,384.7272727,327.2727273,323.1818182,329.2727273,355.8181818,352.3636364,313.1818182,348.6363636,0
nov-04,431,370,405,412,335,376,379,388,353,355,390,,433,372,405,430,358,376,379,388,382,364,390,0,5093,4097,4548,4644,3935,3931,4001,4302,4229,3800,4225,0,12,424.4166667,341.4166667,379,387,327.9166667,327.5833333,333.4166667,358.5,352.4166667,316.6666667,352.0833333,0
dic-04,397,346,389,367,304,314,356,354,346,333,324,,433,372,405,430,358,376,379,388,382,364,390,0,5526,4443,4937,5011,4239,4245,4357,4656,4575,4133,4549,0,13,425.0769231,341.7692308,379.7692308,385.4615385,326.0769231,326.5384615,335.1538462,358.1538462,351.9230769,317.9230769,349.9230769,0
ene-05,417,339,391,393,298,328,345,361,339,320,314,,433,372,405,430,358,376,379,388,382,364,390,0,5959,4782,5328,5404,4537,4573,4702,5017,4914,4453,4863,0,14,425.6428571,341.5714286,380.5714286,386,324.0714286,326.6428571,335.8571429,358.3571429,351,318.0714286,347.3571429,0
feb-05,439,367,416,398,322,348,351,371,373,340,353,,439,372,416,430,358,376,379,388,382,364,390,0,6398,5149,5744,5802,4859,4921,5053,5388,5287,4793,5216,0,15,426.5333333,343.2666667,382.9333333,386.8,323.9333333,328.0666667,336.8666667,359.2,352.4666667,319.5333333,347.7333333,0
mar-05,418,372,415,411,344,374,383,359,370,339,366,,439,372,416,430,358,376,383,388,382,364,390,0,6837,5521,6159,6213,5203,5295,5436,5747,5657,5132,5582,0,16,427.3125,345.0625,384.9375,388.3125,325.1875,330.9375,339.75,359.1875,353.5625,320.75,348.875,0
abr-05,402,385,427,425,350,413,389,371,368,361,358,,439,385,427,430,358,413,389,388,382,364,390,0,7276,5906,6586,6638,5553,5708,5825,6118,6025,5493,5940,0,17,428,347.4117647,387.4117647,390.4705882,326.6470588,335.7647059,342.6470588,359.8823529,354.4117647,323.1176471,349.4117647,0
