"corid_JD_AUX_62_256" "modamayor"
"1" "Cargadetrabajo.1001" "103"
"2" "Cargadetrabajo.1007" "76"
"3" "Cargadetrabajo.1024" "78"
"4" "Cargadetrabajo.1027" "72"
"5" "Cargadetrabajo.1028" "79"
"6" "Cargadetrabajo.1029" "70"
"7" "Cargadetrabajo.1030" "85"
"8" "Cargadetrabajo.1031" "103"
"9" "Cargadetrabajo.1072" "59"
"10" "Cargadetrabajo.1125" "92"
"11" "Cargadetrabajo.1126" "96"
"12" "Cargadetrabajo.1127" "90"
"13" "Cargadetrabajo.1128" "105"
"14" "Cargadetrabajo.1135" "70"
"15" "Cargadetrabajo.1136" "82"
"16" "Cargadetrabajo.1206" "76"
"17" "Cargadetrabajo.1217" "70"
"18" "Cargadetrabajo.1222" "77"
"19" "Cargadetrabajo.1274" "38"
"20" "Cargadetrabajo.1365" "74"
"21" "Cargadetrabajo.1367" "492"
"22" "Cargadetrabajo.1368" "1835"
