"corid_ct_JD_62_256" "modamayor"
"1" "Cargadetrabajo.10" "356"
"2" "Cargadetrabajo.12" "770"
"3" "Cargadetrabajo.23" "563"
"4" "Cargadetrabajo.25" "95"
"5" "Cargadetrabajo.33" "501"
"6" "Cargadetrabajo.35" "86"
"7" "Cargadetrabajo.41" "469"
"8" "Cargadetrabajo.43" "561"
"9" "Cargadetrabajo.51" "719"
"10" "Cargadetrabajo.52" "63"
"11" "Cargadetrabajo.59" "990"
"12" "Cargadetrabajo.60" "59"
"13" "Cargadetrabajo.64" "338"
"14" "Cargadetrabajo.71" "354"
"15" "Cargadetrabajo.76" "581"
"16" "Cargadetrabajo.77" "593"
"17" "Cargadetrabajo.78" "79"
"18" "Cargadetrabajo.83" "913"
"19" "Cargadetrabajo.87" "723"
"20" "Cargadetrabajo.91" "363"
"21" "Cargadetrabajo.100" "553"
"22" "Cargadetrabajo.107" "554"
"23" "Cargadetrabajo.111" "405"
"24" "Cargadetrabajo.115" "296"
"25" "Cargadetrabajo.116" "469"
"26" "Cargadetrabajo.125" "533"
"27" "Cargadetrabajo.134" "552"
"28" "Cargadetrabajo.139" "676"
"29" "Cargadetrabajo.142" "695"
"30" "Cargadetrabajo.147" "526"
"31" "Cargadetrabajo.148" "489"
"32" "Cargadetrabajo.168" "595"
"33" "Cargadetrabajo.171" "713"
"34" "Cargadetrabajo.174" "558"
"35" "Cargadetrabajo.176" "272"
"36" "Cargadetrabajo.177" "298"
"37" "Cargadetrabajo.179" "537"
"38" "Cargadetrabajo.180" "242"
"39" "Cargadetrabajo.181" "477"
"40" "Cargadetrabajo.187" "1084"
"41" "Cargadetrabajo.192" "482"
"42" "Cargadetrabajo.203" "368"
"43" "Cargadetrabajo.207" "510"
"44" "Cargadetrabajo.209" "587"
"45" "Cargadetrabajo.210" "381"
"46" "Cargadetrabajo.211" "424"
"47" "Cargadetrabajo.212" "645"
"48" "Cargadetrabajo.213" "265"
"49" "Cargadetrabajo.214" "295"
"50" "Cargadetrabajo.217" "383"
"51" "Cargadetrabajo.220" "445"
"52" "Cargadetrabajo.222" "442"
"53" "Cargadetrabajo.223" "299"
"54" "Cargadetrabajo.226" "420"
"55" "Cargadetrabajo.228" "416"
"56" "Cargadetrabajo.229" "461"
"57" "Cargadetrabajo.230" "415"
"58" "Cargadetrabajo.233" "641"
"59" "Cargadetrabajo.238" "716"
"60" "Cargadetrabajo.239" "362"
"61" "Cargadetrabajo.240" "312"
"62" "Cargadetrabajo.243" "348"
"63" "Cargadetrabajo.246" "317"
