"corid_TC_AUX_62_256" "modamayor"
"1" "Cargadetrabajo.983" "255"
"2" "Cargadetrabajo.984" "476"
"3" "Cargadetrabajo.985" "190"
"4" "Cargadetrabajo.1004" "190"
"5" "Cargadetrabajo.1012" "204"
"6" "Cargadetrabajo.1032" "233"
"7" "Cargadetrabajo.1075" "1"
"8" "Cargadetrabajo.1095" "202"
"9" "Cargadetrabajo.1098" "222"
"10" "Cargadetrabajo.1100" "243"
"11" "Cargadetrabajo.1101" "193"
"12" "Cargadetrabajo.1132" "315"
"13" "Cargadetrabajo.1133" "270"
"14" "Cargadetrabajo.1138" "204"
"15" "Cargadetrabajo.1139" "217"
"16" "Cargadetrabajo.1161" "189"
"17" "Cargadetrabajo.1177" "189"
"18" "Cargadetrabajo.1192" "170"
"19" "Cargadetrabajo.1193" "247"
"20" "Cargadetrabajo.1211" "286"
"21" "Cargadetrabajo.1219" "285"
"22" "Cargadetrabajo.1220" "218"
"23" "Cargadetrabajo.1221" "379"
