"corid_TC_62_256" "modamayor"
"1" "Cargadetrabajo.4" "552"
"2" "Cargadetrabajo.5" "416"
"3" "Cargadetrabajo.6" "270"
"4" "Cargadetrabajo.7" "355"
"5" "Cargadetrabajo.15" "756"
"6" "Cargadetrabajo.16" "259"
"7" "Cargadetrabajo.17" "929"
"8" "Cargadetrabajo.18" "333"
"9" "Cargadetrabajo.26" "1016"
"10" "Cargadetrabajo.27" "299"
"11" "Cargadetrabajo.28" "1305"
"12" "Cargadetrabajo.29" "117"
"13" "Cargadetrabajo.36" "1225"
"14" "Cargadetrabajo.37" "238"
"15" "Cargadetrabajo.38" "300"
"16" "Cargadetrabajo.39" "273"
"17" "Cargadetrabajo.45" "605"
"18" "Cargadetrabajo.46" "292"
"19" "Cargadetrabajo.47" "275"
"20" "Cargadetrabajo.48" "287"
"21" "Cargadetrabajo.53" "1212"
"22" "Cargadetrabajo.54" "334"
"23" "Cargadetrabajo.55" "292"
"24" "Cargadetrabajo.56" "269"
"25" "Cargadetrabajo.61" "1087"
"26" "Cargadetrabajo.62" "206"
"27" "Cargadetrabajo.63" "435"
"28" "Cargadetrabajo.67" "1743"
"29" "Cargadetrabajo.68" "316"
"30" "Cargadetrabajo.69" "317"
"31" "Cargadetrabajo.73" "830"
"32" "Cargadetrabajo.74" "235"
"33" "Cargadetrabajo.75" "402"
"34" "Cargadetrabajo.79" "452"
"35" "Cargadetrabajo.80" "288"
"36" "Cargadetrabajo.81" "303"
"37" "Cargadetrabajo.84" "1350"
"38" "Cargadetrabajo.85" "228"
"39" "Cargadetrabajo.86" "784"
"40" "Cargadetrabajo.88" "745"
"41" "Cargadetrabajo.89" "222"
"42" "Cargadetrabajo.90" "283"
"43" "Cargadetrabajo.92" "1021"
"44" "Cargadetrabajo.93" "247"
"45" "Cargadetrabajo.94" "1230"
"46" "Cargadetrabajo.95" "273"
"47" "Cargadetrabajo.96" "705"
"48" "Cargadetrabajo.97" "187"
"49" "Cargadetrabajo.102" "1182"
"50" "Cargadetrabajo.103" "372"
"51" "Cargadetrabajo.104" "195"
"52" "Cargadetrabajo.109" "354"
"53" "Cargadetrabajo.118" "777"
"54" "Cargadetrabajo.119" "318"
"55" "Cargadetrabajo.120" "1066"
"56" "Cargadetrabajo.121" "360"
"57" "Cargadetrabajo.127" "1083"
"58" "Cargadetrabajo.128" "321"
"59" "Cargadetrabajo.129" "1041"
"60" "Cargadetrabajo.130" "379"
"61" "Cargadetrabajo.136" "414"
"62" "Cargadetrabajo.141" "452"
"63" "Cargadetrabajo.149" "575"
"64" "Cargadetrabajo.150" "776"
"65" "Cargadetrabajo.151" "1188"
"66" "Cargadetrabajo.152" "216"
"67" "Cargadetrabajo.155" "1162"
"68" "Cargadetrabajo.156" "354"
"69" "Cargadetrabajo.157" "916"
"70" "Cargadetrabajo.160" "896"
"71" "Cargadetrabajo.182" "282"
"72" "Cargadetrabajo.183" "211"
"73" "Cargadetrabajo.184" "429"
"74" "Cargadetrabajo.185" "237"
"75" "Cargadetrabajo.188" "820"
"76" "Cargadetrabajo.189" "171"
"77" "Cargadetrabajo.191" "263"
"78" "Cargadetrabajo.193" "450"
"79" "Cargadetrabajo.194" "531"
"80" "Cargadetrabajo.200" "395"
"81" "Cargadetrabajo.205" "578"
"82" "Cargadetrabajo.291" "1068"
"83" "Cargadetrabajo.294" "1094"
"84" "Cargadetrabajo.297" "1474"
"85" "Cargadetrabajo.389" "259"
"86" "Cargadetrabajo.391" "285"
"87" "Cargadetrabajo.392" "349"
"88" "Cargadetrabajo.395" "743"
"89" "Cargadetrabajo.397" "476"
"90" "Cargadetrabajo.399" "1983"
"91" "Cargadetrabajo.403" "706"
"92" "Cargadetrabajo.408" "1563"
"93" "Cargadetrabajo.426" "278"
"94" "Cargadetrabajo.428" "1001"
"95" "Cargadetrabajo.462" "1792"
"96" "Cargadetrabajo.473" "987"
"97" "Cargadetrabajo.475" "303"
"98" "Cargadetrabajo.484" "1112"
"99" "Cargadetrabajo.495" "617"
"100" "Cargadetrabajo.496" "773"
"101" "Cargadetrabajo.497" "977"
"102" "Cargadetrabajo.498" "367"
"103" "Cargadetrabajo.499" "91"
"104" "Cargadetrabajo.500" "283"
"105" "Cargadetrabajo.501" "122"
"106" "Cargadetrabajo.506" "299"
"107" "Cargadetrabajo.507" "173"
"108" "Cargadetrabajo.508" "527"
"109" "Cargadetrabajo.575" "945"
"110" "Cargadetrabajo.586" "1244"
"111" "Cargadetrabajo.647" "561"
"112" "Cargadetrabajo.648" "237"
"113" "Cargadetrabajo.649" "357"
"114" "Cargadetrabajo.650" "548"
"115" "Cargadetrabajo.651" "452"
"116" "Cargadetrabajo.703" "619"
"117" "Cargadetrabajo.706" "325"
"118" "Cargadetrabajo.708" "953"
"119" "Cargadetrabajo.744" "442"
"120" "Cargadetrabajo.745" "608"
"121" "Cargadetrabajo.746" "846"
"122" "Cargadetrabajo.747" "195"
"123" "Cargadetrabajo.749" "1040"
"124" "Cargadetrabajo.750" "1376"
"125" "Cargadetrabajo.751" "541"
"126" "Cargadetrabajo.752" "438"
"127" "Cargadetrabajo.775" "562"
"128" "Cargadetrabajo.776" "345"
"129" "Cargadetrabajo.777" "385"
"130" "Cargadetrabajo.778" "809"
"131" "Cargadetrabajo.779" "1222"
"132" "Cargadetrabajo.786" "643"
"133" "Cargadetrabajo.792" "900"
"134" "Cargadetrabajo.794" "295"
"135" "Cargadetrabajo.795" "1252"
"136" "Cargadetrabajo.802" "537"
"137" "Cargadetrabajo.933" "963"
"138" "Cargadetrabajo.944" "1091"
"139" "Cargadetrabajo.950" "766"
"140" "Cargadetrabajo.951" "690"
"141" "Cargadetrabajo.952" "1224"
"142" "Cargadetrabajo.956" "1084"
"143" "Cargadetrabajo.957" "421"
"144" "Cargadetrabajo.1009" "1189"
"145" "Cargadetrabajo.1040" "850"
"146" "Cargadetrabajo.1041" "1094"
"147" "Cargadetrabajo.1042" "763"
"148" "Cargadetrabajo.1043" "696"
"149" "Cargadetrabajo.1045" "817"
"150" "Cargadetrabajo.1057" "1415"
"151" "Cargadetrabajo.1058" "551"
"152" "Cargadetrabajo.1059" "1309"
"153" "Cargadetrabajo.1062" "1738"
"154" "Cargadetrabajo.1063" "658"
"155" "Cargadetrabajo.1064" "972"
"156" "Cargadetrabajo.1080" "550"
"157" "Cargadetrabajo.1085" "1167"
"158" "Cargadetrabajo.1089" "1339"
"159" "Cargadetrabajo.1103" "738"
"160" "Cargadetrabajo.1143" "632"
"161" "Cargadetrabajo.1144" "454"
"162" "Cargadetrabajo.1145" "657"
"163" "Cargadetrabajo.1146" "865"
"164" "Cargadetrabajo.1147" "406"
"165" "Cargadetrabajo.1148" "1122"
"166" "Cargadetrabajo.1150" "1825"
"167" "Cargadetrabajo.1162" "835"
"168" "Cargadetrabajo.1241" "732"
"169" "Cargadetrabajo.1257" "776"
"170" "Cargadetrabajo.1258" "311"
"171" "Cargadetrabajo.1271" "522"
"172" "Cargadetrabajo.1294" "2"
"173" "Cargadetrabajo.1295" "112"
"174" "Cargadetrabajo.1304" "106"
"175" "Cargadetrabajo.1305" "126"
"176" "Cargadetrabajo.1311" "1"
"177" "Cargadetrabajo.1318" "445"
"178" "Cargadetrabajo.1319" "509"
"179" "Cargadetrabajo.1320" "282"
"180" "Cargadetrabajo.1321" "1895"
"181" "Cargadetrabajo.1323" "620"
"182" "Cargadetrabajo.1324" "654"
"183" "Cargadetrabajo.1325" "628"
"184" "Cargadetrabajo.1326" "508"
"185" "Cargadetrabajo.1331" "462"
"186" "Cargadetrabajo.1332" "346"
"187" "Cargadetrabajo.1335" "233"
"188" "Cargadetrabajo.1362" "583"
"189" "Cargadetrabajo.1366" "1737"
"190" "Cargadetrabajo.1372" "1370"
"191" "Cargadetrabajo.1374" "182"
"192" "Cargadetrabajo.1377" "509"
"193" "Cargadetrabajo.1378" "1300"
"194" "Cargadetrabajo.1379" "1640"
"195" "Cargadetrabajo.1380" "1445"
"196" "Cargadetrabajo.1381" "793"
"197" "Cargadetrabajo.1386" "1420"
"198" "Cargadetrabajo.1387" "646"
"199" "Cargadetrabajo.1404" "553"
"200" "Cargadetrabajo.1410" "430"
"201" "Cargadetrabajo.1412" "441"
"202" "Cargadetrabajo.1413" "617"
"203" "Cargadetrabajo.1414" "857"
"204" "Cargadetrabajo.1415" "1091"
"205" "Cargadetrabajo.1417" "939"
"206" "Cargadetrabajo.1418" "435"
"207" "Cargadetrabajo.1441" "699"
"208" "Cargadetrabajo.1442" "1194"
"209" "Cargadetrabajo.1443" "1221"
"210" "Cargadetrabajo.1478" "1097"
"211" "Cargadetrabajo.1535" "953"
"212" "Cargadetrabajo.1536" "575"
"213" "Cargadetrabajo.1537" "678"
"214" "Cargadetrabajo.1538" "854"
"215" "Cargadetrabajo.1557" "297"
"216" "Cargadetrabajo.1558" "661"
"217" "Cargadetrabajo.1560" "646"
"218" "Cargadetrabajo.1561" "935"
"219" "Cargadetrabajo.1573" "792"
"220" "Cargadetrabajo.1574" "902"
"221" "Cargadetrabajo.1576" "1937"
"222" "Cargadetrabajo.1577" "1962"
"223" "Cargadetrabajo.1579" "911"
"224" "Cargadetrabajo.1587" "1836"
"225" "Cargadetrabajo.1588" "1193"
"226" "Cargadetrabajo.1589" "1017"
"227" "Cargadetrabajo.1590" "694"
"228" "Cargadetrabajo.1671" "280"
"229" "Cargadetrabajo.1673" "873"
"230" "Cargadetrabajo.1674" "966"
"231" "Cargadetrabajo.1886" "1128"
"232" "Cargadetrabajo.1887" "819"
"233" "Cargadetrabajo.1888" "894"
"234" "Cargadetrabajo.1891" "416"
"235" "Cargadetrabajo.2409" "545"
"236" "Cargadetrabajo.2412" "886"
"237" "Cargadetrabajo.2415" "1454"
"238" "Cargadetrabajo.2420" "618"
"239" "Cargadetrabajo.2422" "1007"
"240" "Cargadetrabajo.2423" "926"
"241" "Cargadetrabajo.2456" "1076"
"242" "Cargadetrabajo.2748" "1341"
"243" "Cargadetrabajo.2885" "564"
"244" "Cargadetrabajo.2887" "1104"
"245" "Cargadetrabajo.2954" "1184"
"246" "Cargadetrabajo.2992" "721"
"247" "Cargadetrabajo.3447" "557"
"248" "Cargadetrabajo.3458" "183"
"249" "Cargadetrabajo.3841" "489"
