"corid_TU_62_256" "modamayor"
"1" "Cargadetrabajo.9" "200"
"2" "Cargadetrabajo.20" "78"
"3" "Cargadetrabajo.30" "98"
"4" "Cargadetrabajo.40" "96"
"5" "Cargadetrabajo.110" "97"
"6" "Cargadetrabajo.122" "400"
"7" "Cargadetrabajo.131" "156"
"8" "Cargadetrabajo.137" "201"
"9" "Cargadetrabajo.158" "188"
"10" "Cargadetrabajo.167" "147"
"11" "Cargadetrabajo.170" "104"
"12" "Cargadetrabajo.173" "119"
"13" "Cargadetrabajo.175" "119"
"14" "Cargadetrabajo.186" "107"
"15" "Cargadetrabajo.202" "378"
"16" "Cargadetrabajo.216" "90"
"17" "Cargadetrabajo.219" "76"
"18" "Cargadetrabajo.225" "157"
"19" "Cargadetrabajo.232" "115"
"20" "Cargadetrabajo.235" "60"
"21" "Cargadetrabajo.242" "127"
"22" "Cargadetrabajo.245" "150"
"23" "Cargadetrabajo.254" "102"
"24" "Cargadetrabajo.257" "98"
"25" "Cargadetrabajo.272" "148"
"26" "Cargadetrabajo.275" "145"
"27" "Cargadetrabajo.284" "172"
"28" "Cargadetrabajo.292" "113"
"29" "Cargadetrabajo.295" "108"
"30" "Cargadetrabajo.298" "129"
"31" "Cargadetrabajo.300" "109"
"32" "Cargadetrabajo.302" "95"
"33" "Cargadetrabajo.312" "235"
"34" "Cargadetrabajo.324" "96"
"35" "Cargadetrabajo.327" "101"
"36" "Cargadetrabajo.330" "73"
"37" "Cargadetrabajo.337" "398"
"38" "Cargadetrabajo.344" "70"
"39" "Cargadetrabajo.347" "44"
"40" "Cargadetrabajo.350" "59"
"41" "Cargadetrabajo.353" "56"
"42" "Cargadetrabajo.363" "117"
"43" "Cargadetrabajo.366" "98"
"44" "Cargadetrabajo.374" "68"
"45" "Cargadetrabajo.377" "105"
"46" "Cargadetrabajo.393" "161"
"47" "Cargadetrabajo.400" "90"
"48" "Cargadetrabajo.404" "166"
"49" "Cargadetrabajo.409" "72"
"50" "Cargadetrabajo.413" "179"
"51" "Cargadetrabajo.427" "88"
"52" "Cargadetrabajo.465" "189"
"53" "Cargadetrabajo.470" "125"
"54" "Cargadetrabajo.478" "397"
"55" "Cargadetrabajo.479" "102"
"56" "Cargadetrabajo.574" "56"
"57" "Cargadetrabajo.583" "45"
"58" "Cargadetrabajo.658" "132"
"59" "Cargadetrabajo.670" "130"
"60" "Cargadetrabajo.671" "117"
"61" "Cargadetrabajo.672" "157"
"62" "Cargadetrabajo.702" "126"
"63" "Cargadetrabajo.704" "156"
"64" "Cargadetrabajo.793" "65"
"65" "Cargadetrabajo.796" "212"
"66" "Cargadetrabajo.989" "118"
"67" "Cargadetrabajo.1010" "49"
"68" "Cargadetrabajo.1015" "135"
"69" "Cargadetrabajo.1034" "77"
"70" "Cargadetrabajo.1044" "87"
"71" "Cargadetrabajo.1088" "36"
"72" "Cargadetrabajo.1183" "218"
"73" "Cargadetrabajo.1189" "174"
"74" "Cargadetrabajo.1237" "102"
"75" "Cargadetrabajo.1254" "71"
"76" "Cargadetrabajo.1263" "112"
"77" "Cargadetrabajo.1316" "144"
"78" "Cargadetrabajo.1348" "62"
"79" "Cargadetrabajo.1383" "36"
"80" "Cargadetrabajo.1403" "38"
"81" "Cargadetrabajo.1407" "65"
"82" "Cargadetrabajo.1563" "53"
"83" "Cargadetrabajo.1662" "53"
"84" "Cargadetrabajo.1663" "86"
"85" "Cargadetrabajo.2404" "21"
"86" "Cargadetrabajo.2407" "38"
"87" "Cargadetrabajo.2408" "181"
"88" "Cargadetrabajo.2416" "64"
"89" "Cargadetrabajo.2426" "64"
"90" "Cargadetrabajo.2744" "70"
"91" "Cargadetrabajo.2952" "45"
"92" "Cargadetrabajo.2990" "99"
"93" "Cargadetrabajo.3454" "74"
